Date,Open,High,Low,Close,Volume
01-09-2016,158.32,159.62,158.1,159.54,2358385
02-09-2016,159.88,160.57,159.15,159.55,2315366
06-09-2016,159.88,160.86,159.11,160.35,2994056
07-09-2016,160.19,161.76,160,161.64,2867257
08-09-2016,160.55,161.21,158.76,159,3963164
09-09-2016,158.03,158.4,155.65,155.69,5185972
12-09-2016,155.26,158.53,154.84,158.29,4367529
13-09-2016,157.63,157.93,155.5,155.81,3636719
14-09-2016,155.7,155.87,153.39,154.05,3860553
15-09-2016,154.3,156.33,153.21,155.66,3662573
16-09-2016,155.04,155.4,153.47,153.84,6463644
19-09-2016,154.87,156.19,154.55,154.87,2450117
20-09-2016,155.87,156.57,154.45,154.45,2159092
21-09-2016,154.91,155.68,153.87,155.53,2473895
22-09-2016,156.15,157.22,155.69,156.11,2691115
23-09-2016,155.62,156.04,154.71,154.98,2702153
26-09-2016,154.46,154.46,153.46,153.98,2533325
27-09-2016,154.32,156.77,153.81,156.77,2987195
28-09-2016,156.99,158.62,156.23,158.29,3310008
29-09-2016,158.63,165,157.46,158.11,3374838
30-09-2016,158.9,159.84,158.06,158.85,3596878
03-10-2016,158.06,158.37,157.02,157.61,2227800
04-10-2016,157.67,158.53,155.82,156.46,2884146
05-10-2016,157.07,157.83,156.72,157.08,1684458
06-10-2016,156.84,157.43,155.89,156.88,1950106
07-10-2016,157.14,157.7,154.86,155.67,2671852
10-10-2016,156.71,158.49,156.66,157.02,2481288
11-10-2016,156.73,156.95,153.89,154.79,2901326
12-10-2016,154.97,154.97,153.08,154.29,2963968
13-10-2016,153.7,154.22,152.27,153.72,2909948
14-10-2016,154.47,155.53,154.09,154.45,4358197
17-10-2016,154.45,155.89,154.34,154.77,5890421
18-10-2016,150.02,151,147.79,150.72,12770570
19-10-2016,151.27,152.45,150.83,151.26,4632854
20-10-2016,151.28,152.9,151.02,151.52,4023103
21-10-2016,150.58,151.15,149.56,149.63,4414206
24-10-2016,150.4,151.52,150.4,150.57,2666740
25-10-2016,150.69,151.16,149.83,150.88,2647487
26-10-2016,150.71,152.94,150.26,151.81,2811728
27-10-2016,152.82,154.06,152.02,153.35,4229336
28-10-2016,154.05,154.44,152.18,152.61,3654496
31-10-2016,152.76,154.33,152.76,153.69,3553172
01-11-2016,153.5,153.91,151.74,152.79,3191924
02-11-2016,152.48,153.34,151.67,151.95,3074438
03-11-2016,152.51,153.74,151.8,152.37,2878803
04-11-2016,152.4,153.64,151.87,152.43,2470368
07-11-2016,153.99,156.11,153.84,155.72,3804943
08-11-2016,154.56,155.93,153.06,155.17,3921944
09-11-2016,152.96,155.56,151,154.81,5403688
10-11-2016,157.66,161.16,157.59,160.22,7715807
11-11-2016,159.97,161.34,159.33,161.27,4446630
14-11-2016,161.25,161.86,157.58,158.21,5196498
15-11-2016,158.42,159.15,157.55,158.67,3476996
16-11-2016,158.46,159.55,158.03,159.29,2252806
17-11-2016,159.22,159.93,158.85,159.8,2258716
18-11-2016,159.8,160.72,159.21,160.39,2981633
21-11-2016,160.69,163,160.37,162.77,4637097
22-11-2016,163,163,161.95,162.67,2770789
23-11-2016,161.94,162.38,161.36,161.98,2256165
25-11-2016,161.83,163.19,161.83,163.14,1605344
28-11-2016,163.2,164.66,162.7,164.52,4449355
29-11-2016,164,164.41,163.03,163.53,3148196
30-11-2016,163.35,163.8,162.21,162.22,4397817
01-12-2016,161.95,162.2,158.3,159.82,4635665
02-12-2016,159,160.29,158.41,160.02,2740867
05-12-2016,160.85,161.15,159.59,159.84,3447052
06-12-2016,160.13,160.79,158.93,160.35,2858962
07-12-2016,160.6,165.18,160.39,164.79,4435050
08-12-2016,164.87,166,164.22,165.36,3266436
09-12-2016,165.18,166.72,164.6,166.52,3146930
12-12-2016,166.72,166.79,165.07,165.5,3392331
13-12-2016,165.68,169.95,165.68,168.29,5932271
14-12-2016,168.37,169.89,167.45,168.51,4124161
15-12-2016,168.01,169.85,167.78,168.02,3388570
16-12-2016,168.97,169.11,166.06,166.73,7120572
19-12-2016,166.83,167.26,166,166.68,2955906
20-12-2016,167.49,168.25,166.45,167.6,2174569
21-12-2016,166.25,167.94,165.25,167.33,3575721
22-12-2016,167.36,168.23,166.58,167.06,2802631
23-12-2016,167,167.49,166.45,166.71,1701228
27-12-2016,166.98,167.98,166.85,167.14,1397455
28-12-2016,167.29,167.74,166,166.19,1757500
29-12-2016,166.02,166.99,166,166.6,1663542
30-12-2016,166.44,166.7,165.5,165.99,2952825
03-01-2017,167,167.87,166.01,167.19,2934299
04-01-2017,167.77,169.87,167.36,169.26,3381432
05-01-2017,169.25,169.39,167.26,168.7,2682301
06-01-2017,168.69,169.92,167.52,169.53,2945536
09-01-2017,169.47,169.8,167.62,167.65,3189891
10-01-2017,167.98,168.09,165.34,165.52,4118694
